Company,Company Score,Job Title,Location
Arkema,3.6,R&D Engineering Intern – Summer 2025 (Graduate),"Minneapolis, MN"
TikTok,3.2,R&D - Intern PEKK Job,"Mobile, AL"
Campus Opportunities,3.8,Product Manager MBA Intern (TikTok Shop Seller Experience)- 2025 Summer (MBA),"Seattle, WA"
Mars,4.3,Advisory MC Intern Fall 2024,United States
"City of Lewisville, TX",4.6,Campaign Intern,"Washington, DC"
WSP,3.2,Intern - Sustainability,"Lewisville, TX"
Lawrence Livermore National Laboratory,3.9,Environmental Engineering Intern - Fall 2024,"Norcross, GA"
Aon Corporation,3.0,Materials Engineering Division Graduate Intern - Fall 2024,"Livermore, CA"
DR ELECTRIC,3.8,Early Careers: Actuarial Intern,"Chicago, IL"
TikTok,4.0,Architect Intern,"Philadelphia, PA"
Indiana University,3.4,"Program Manager Intern, Product Operations (Signal Operations SMB)- 2025 Summer (BS/MS)","Austin, TX"
Day & Zimmermann,4.5,Part-Time Student Bepko Intern - Research Analytics Internship,"Bloomington, IN"
LG&E and KU Services Company,4.0,Mechanical Intern,"Huntsville, AL"
Kansas Department of Labor,4.3,Engineer Intern,"Lexington, KY"
Nestlé Purina Pet Care,4.2,Intern: Web Design and Database,"Topeka, KS"
North American Electric Reliability Corporation,3.7,Manufacturing Excellence Intern,"Flagstaff, AZ"
Mars,3.3,"Intern, Internal Audit and Advisory Services (IAAS)","Atlanta, GA"
Cart.com,3.4,"Summer 2025 Mars Petcare Supply Chain Business Systems Internship - Franklin, TN","Franklin, TN"
GE Aviation,4.2,Associate Brand/ Brand Manager- Amazon Marketplace,Texas
Michigan State University,2.6,GE Aerospace US Digital Technology Intern - Summer 2025,"Evendale, OH"
"City of Huntington Beach, CA",4.6,Professional Aide,"East Lansing, MI"
RippleMatch Opportunities,3.9,COLLEGE INTERN I-III/GRADUATE INTERN,"Huntington Beach, CA"
Connect for Health Colorado,3.8,"GSK - Summer Co-op/Process Modelling and Simulation, application via RippleMatch",Upper Providence Township
"DiverseAllen Horizons, Inc.",4.0,Policy Intern,"Denver, CO"
Lucid Software,3.2,DFA IT Process Improvement Intern AY2024-25,"Corvallis, OR"
Medtronic,3.7,Customer Operations Intern,"Salt Lake City, UT"
Genworth,4.2,Operations Engineering Intern – Summer 2025 (Graduate),"Minneapolis, MN"
1Oklahoma,3.7,IT Development Program Internship,"Richmond, VA"
Love's Travel Stops & Country Stores,4.0,Merchandise Intern,"Norman, OK"
Prudential,3.5,Merchandising Analytics Intern (Summer 2025),"Oklahoma City, OK"
Stantec,4.3,"PGIM: 2025 Operations & Innovation, Innovation & Analytics Internship Program","Newark, NJ"
The Gerken Companies,4.2,Traffic Engineer Intern / Co-Op - Transportation (Fall 2024),"New York, NY"
STASIS DRILLING SOLUTIONS,3.4,Quality Control Intern,"Toledo, OH"
Ervin Cable,3.7,Engineering Intern,"Houston, TX"
Discover Financial Services,4.0,Intern,"Sturgis, KY"
EO of Energy and Env Affairs,4.5,Emerging Talent Digital Sourcing Lead,"Chicago, IL"
Juno Tech Corp,4.1,Environmental Justice Intern,"Boston, MA"
Radiant Digital,3.8,TikTok E-Commerce Account Operations Intern,"New York, NY"
State of Arizona,4.4,Research intern with public policy education,"Vienna, VA"
ENGIE North America Inc.,3.6,Demand Analysis Intern,"Phoenix, AZ"
"UTZ Brands, Inc",3.2,"Intern, Customer Analytics & Strategy Engagement","Houston, TX"
NJEDA,4.0,Supply Chain Internship: Part Time: Fall Semester,"Hanover, PA"
Living Cities,4.2,Fall Film Intern,"Newark, NJ"
"Pact, Inc.",4.4,Fall 2024 Internship Program,"York, WA"
Simon-Kucher & Partners,3.9,CSM-STAND Intern,"Washington, DC"
MacLean-Fogg,3.6,[UG/MS] Summer 2025 Intern/Associate Consultant - Healthcare & Life Sciences Division,"Boston, NY"
GE Vernova Strategy & Innovation,3.8,Digital Adoption Intern,"Mundelein, IL"
RippleMatch Opportunities,4.2,GE Vernova Advanced Research - 2025 Edison Program Internship,"Niskayuna, NY"
"Terracon Consultants, Inc.",4.0,"Vertex Pharmaceuticals - Vertex 2024 Fall Co-op, Technical Operations, application via RippleMatch","Boston, MA"
Eskenazi Health,3.3,Engineering Intern,"Williamsburg, VA"
"MCA, Inc",4.0,FOOD & CONSUMER SAFETY INTERN,"Indianapolis, IN"
"Northrock Partners, LLC",3.8,Business Operations Analyst - Internship,"Grand Blanc, MI"
Salas O'Brien,3.8,"Intern, Operations (Fall 2024)","Minneapolis, MN"
TimkenSteel.,3.9,"2024-2025 Fall Internship, Co-Op College Career Opportunities",United States
Dolby,4.3,Supply Chain Planning Intern,"Canton, OH"
Wells Fargo,4.0,"Research Intern, AI Quality (Fall 24)","Sunnyvale, CA"
FloSports,3.4,2025 Summer Internship Quantitative Analytics Program (Master's) - Early Careers,"Charlotte, NC"
LGI Branding LLC,5.0,Fall Internship - Events Coordinator,"Austin, TX"
GID Investment Advisers LLC,4.7,Research Intern,"Tulsa, OK"
FC Dallas,2.8,"Summer 2025 Real Estate Internship - Dallas, TX","Dallas, TX"
Community Counseling Centers Of Chicago,3.5,Scouting Intern 2024 Season,"Frisco, TX"
Infrastructure Consulting & Engineering,4.3,Development Intern,"Chicago, IL"
Boston Public Health Commission,3.2,Roadway Engineer Intern,"Norcross, GA"
ZF,4.0,Learning and Evaluation Implementation Internship,"Boston, MA"
Rapsodo,3.8,Maintenance Intern,"Marysville, MI"
Playfly Sports,4.2,"Customer Experience Intern, Diamond Sports","Saint Louis, MO"
Perfetti Van Melle,3.7,Gameday/ Property Intern (UCF Sports Property),Florida
Walmart,3.5,Research and Development Process Intern,"Erlanger, KY"
Princeton University,5.0,2025 Summer Undergraduate Intern: Walmart Merchandising,"Bentonville, AR"
Worthington Enterprises,2.9,Next Generation Internship Coordinator - Temporary,"Princeton, NJ"
Alameda County Water District,3.1,Internal Audit Intern,"Columbus, OH"
Schneider Electric,3.8,Water Production Intern,"Fremont, CA"
STERIS,3.8,Logistics Engineer CO-OP (Spring 2025),"Mechanicsburg, PA"
TikTok,4.1,"Health, Safety, and Environmental Intern","Mentor, OH"
Meher Trailer Products PTY LTD,2.7,QA Engineer Intern (TikTok Growth) - 2025 Summer (BS/MS),"San Jose, CA"
"Amkor Technology, Inc.",3.9,Finance ERP Intern,"Rolling Meadows, IL"
RippleMatch Opportunities,3.7,"Intern, Product Engineer","Tempe, AZ"
AltCap,3.9,"GSK - Fall Co-op / CIVM-Biology, application via RippleMatch","Providence, Delaware, PA"
"CTL Aerospace, Inc.",3.7,Communications Team Intern,"Kansas City, MO"
Black Hills Federal Credit Union,3.6,Quality Control Engineering Intern,"Cincinnati, OH"
Bank of America,3.2,College Marketing Intern,"Rapid City, SD"
InnoPhase IoT,4.1,Strategy & Management Summer Associate Program - 2025,"Boston, MA"
Regis College,4.0,Product Test Engineer – Summer Internship,"San Diego, CA"
Global Refuge,3.6,Graduate Intern for LGBTQ+ Initiatives,"Weston, MA"
Bank of China,4.0,Children and Family Services Macro Intern,"Detroit, MI"
KeyBank,3.2,CRM Credit Analyst I Intern,United States
RippleMatch Opportunities,3.5,2025 Summer Risk Management Internship Program - Cleveland,"Cleveland, OH"
BlueScope Coated Products,3.5,"Apex Fintech Solutions - Procurement Analytics Intern, application via RippleMatch","Chicago, IL"
"Alan B. Lancz and Associates, Inc.",4.1,Engineer Intern,"Marietta, GA"
Eutelsat,4.2,Financial Internships,"Toledo, OH"
Four Roses Distillery LLC,4.1,Career Opportunities: Monitoring Engineer (internship) (5267),Idaho
The City of Fort Worth,4.0,Quality Engineer Intern - Cox's Creek,"Coxs Creek, KY"
Trinity Global Institute,2.8,Intern - Budget Fellowship,"Fort Worth, TX"
Michigan State Athletics,3.7,Paid Marketing Intern,"Orlando, FL"
Schneider Electric,3.3,Student Engagement Post-Grad Internship – Marketing and Fan Engagement,"East Lansing, MI"
AFM - American Flowform and Machining,4.1,Manufacturing Engineering Internship: Fall 2024,"Lexington, KY"
Smith System Manufacturing,3.6,Internship - Supply Chain,"Billerica, MA"
Dolby,3.8,Manufacturing Engineering Intern,United States
pSemi,2.9,PhD Multimodal AI Intern,"San Francisco, CA"
Dexter Axle,3.3,"Intern, Characterization Process Technology - Summer 2024",United States
Albany International Corp.,4.0,Roadway Intern,"Miami, FL"
Lawrence Livermore National Laboratory,3.8,Product Development Intern - R&D,"Saint Stephen, SC"
First Horizon Group,3.9,Materials Engineering Division Undergraduate Intern - Fall 2024,"Livermore, CA"
Recovery Resources,1.0,Sales Representative,"Seattle, WA"
Babcock & Wilcox,4.0,Prevention Specialist Intern,"Cleveland, OH"
Paytique Financial,3.6,Generative AI Imaging Creation Intern,"Akron, OH"
Digital Plus Solutions,3.7,Marketing and Business Development Intern,"Brooklyn, NY"
Schneider Electric,4.1,Digital Marketing Intern,"Kansas City, MO"
Worthington Steel,3.5,"Safety, Health & Environment Intern: Fall 2024","Chino, CA"
GE Vernova Leadership Programs,4.0,Electrical Controls Engineer Intern - TWB Monroe,"Monroe, MI"
EMD Electronics,4.0,GE Vernova Digital Technology Internship - Summer 2025,"Schenectady, NY"
Continental,4.0,Regulatory Safety Co-op,"Branchburg, NJ"
University of Florida,4.3,"Intern - Logistics Analyst, Year-Round","Fort Mill, SC"
GE Aviation,3.6,Smathers Undergraduate Internship in Collections,"Gainesville, FL"
Western & Southern Financial Group,3.5,GE Aerospace Engineering Engines Computer or Software Engineering Intern - Fall 2025,"Evendale, OH"
Occams Group,3.9,College Intern - Actuary,"Cincinnati, OH"
Nashville Soccer Club,3.4,"Entry Level, Paid Internship: Recruitment, Commercial Accounts","Columbia, MD"
Tetra Tech,3.4,Sports Science Intern (Fall 2024)- College Credit Only,"Nashville, TN"
Landis Gyr,4.0,Financial Management Team Intern,"Arlington, VA"
University of Massachusetts Office of the President,3.9,Product Internship - E-Mobility,"Alpharetta, GA"
Kimley-Horn,3.1,Intern – Institutional Research,"Boston, MA"
Dolby,3.8,"Summer 2025 Mars Petcare Supply Chain Transportation Operations Center Internship - Franklin, TN","Franklin, TN"
Stand Together,3.2,Multimodal Perception Science Intern (Fall 24),"San Francisco, CA"
Advent Prestige Care,3.4,KIP Fall 2024 - Intern - The Cato Institute,"Arlington, VA"
PowerMarket,3.7,Mental Health Therapist,"Fort Pierce, FL"
RELQ TECHNOLOGIES LLC,3.8,Community Solar Operations Intern,"New York, NY"
IDEA Public Schools,3.7,Data Architect,Florida
BlocPower,3.9,Intern - Technology Operations (Immediate Opening),"Weslaco, TX"
Weber State University,4.0,Clean Energy Intern,"Ithaca, NY"
Mayor's Office of Contract Services,4.2,MARS Intern,"Ogden, UT"
Casey Peterson,3.2,Service Desk Operations Intern,United States
Continental,4.4,INTERNS,United States
Alabama State University & ALDOT,3.5,Intern - eCommerce,"Fairlawn, OH"
New York City Housing Development Corporation,3.3,Paid Internship (IT),"Montgomery, AL"
Westminster University,2.9,Strategic Operations Intern,United States
"Graphic Packaging International, Inc.",3.5,GSLI Internship- Brine Fly Monitoring,"Salt Lake City, UT"
Cincy Grind,3.3,Engineering Intern IV,"West Monroe, LA"
Charlotte County Board of County Commissioners,3.5,Management Trainee,"Cincinnati, OH"
The MITRE Corporation,4.1,INTERNSHIPS-Charlotte County Engineering,"Punta Gorda, FL"
Community Resource Center,4.1,"Systems, Mechanical, or Aerospace Internships","Bedford, MA"
La Encantada Diversity Equity & Inclusion,3.5,Nonprofit Grant Research & Development Internship (August,"Denver, CO"
SRG Global,4.7,"Diversity, Equity, and Inclusion (DEI) / Employee Engagement Intern","McAllen, TX"
Libbey,2.9,SRG Global Supply Chain Co-Op,"Newbern, TN"
Navy Federal Credit Union,3.3,Marketing Internship (Fall 2024),"Toledo, OH"
City of Greeley,3.6,Intern - Year Round (Lending Strategy and Operations),"Pensacola, FL"
Voith Group,3.3,Source Water Quality Intern II/III,"Greeley, CO"
KeyBank,3.0,HRIS Intern,"York, PA"
Bank of America,4.1,2025 Summer Marketing Internship Program - Cleveland,"Brooklyn, OH"
"Natural Resources Defense Council, Inc.",4.2,Enterprise Credit Summer Analyst Program 2025 - Consumer Credit,"Phoenix, AZ"
Whimsy Stick,4.0,Fall E2 Diversity in Clean Energy Intern,"Washington, DC"
Levy,3.6,Marketing Expert - Facebook Ads Management,"Manor, TX"
Align Social Impact,4.2,E-15 Internship- Indiana University,"Bloomington, IN"
Bank of China,3.9,Research & Partnerships Fellow,United States
"Geosyntec Consultants, Inc.",3.9,Internal Audit Department Advanced Analytics for Audit Intern,United States
Columbus Zoo Family of Parks,3.5,Intern / Co-Op Environmental Science/Engineering,"Worthington, OH"
Berkley,4.0,Ecology Apprenticeship at The Wilds,"Cumberland, OH"
Johnson Controls International,4.3,Communications Coordinator,"Manassas, VA"
Greenwich Commodities LLC,4.2,Continuous Improvement Analyst Intern,"Baltimore, MD"
Dolby,4.7,Power Trading Analyst,"Denver, CO"
Sul Ross State University,3.5,PhD Image Capture Intern,"Sunnyvale, CA"
Tower Semiconductor,4.1,"Dev Team Intern, Title III Internship Program","Alpine, TX"
Avfuel Corporation,3.6,Yield Engineer Intern,"Newport Beach, CA"
inStorify,2.8,Tax Internship,"Ann Arbor, MI"
BCC Engineering,4.3,[Fall internship Program - VC Backed Startup] Marketing & Business Development,"New York, NY"
University of Utah Health,3.7,CEI Intern,"Cumming, GA"
Association of Public Health Laboratories,4.0,Energy Accelerator Student Intern,"Salt Lake City, UT"
Los Alamos National Laboratory,3.8,"Intern, Infectious Diseases","Bethesda, MD"
OFI,4.7,Graduate Student ST 1,"Los Alamos, NM"
InterWorks,4.0,Engineering Intern,"Boardman, OR"
Atlantis IT group,3.2,Employee Experience Intern,"Stillwater, OK"
General Mills,3.7,RBI/Inspection SME,Oklahoma
Thrivent,4.1,Internship - Research & Development Food Scientist,"Golden Valley, MN"
PRICE WATERHOUSE COOPERS,2.6,Actuarial Intern - Summer 2025,"Minneapolis, MN"
Loon,4.2,Tax Financial Markets & Real Estate (FMRE) Intern - Winter 2025,"Miami, FL"
John A. Knutson & Co.,3.2,"PhD Residency - ML / SWE, Early Moonshots","Mountain View, CA"
City of Deerfield Beach,3.9,2025 Winter 1040 Internship,"Falcon Heights, Ramsey, MN"
Marriott Vacations Worldwide,3.6,Intern-Community Services,"Deerfield Beach, FL"
NBCUniversal,3.2,"New Owner Administration Internship (Power BI) - Orlando, FL","Lakeland, FL"
Anders CPAs + Advisors,3.5,NBC Boston Digital News Intern - Fall 2024,"Needham, MA"
City of Virginia Beach,5.0,State and Local Tax Intern - Fall 2024,"Saint Louis, MO"
Frankel,3.6,City of Virginia Beach SkillBridge,"Virginia Beach, VA"
Port City Executives,3.1,Client Services Internship - 2024,"Omaha, NE"
Cummins Inc.,2.9,Account Representative Entry Level,"Grand Rapids, MI"
Corcentric,4.3,School to Work - ePowertrain Controls,"Troy, MI"
BCT LLC,4.0,"Intern, Business Process Analyst, Managed Services","Cherry Hill, NJ"
Volvo Group,3.9,Data Management Specialist (DMS) 2 (SRN),"Fort Meade, MD"
State of Nebraska,4.1,Co-Op: Manufacturing Engineering (Spring 2025),"Hagerstown, MD"
Emkat inc,4.1,SOS Audit Intern,"Lincoln, NE"
The Ohio State University,3.4,Administrator,"North Chelmsford, MA"
The Laney Consulting Agency,3.6,College Intern - Transit Technical Services,"Santa Ana, CA"
EQUITAS Life Sciences,1.0,Digital Marketing Internship,"Culver City, CA"
Perfetti Van Melle,3.3,Life Sciences Consulting Internship,"Essex Junction, VT"
Whimsy Stick,4.1,Packaging Engineer Intern/Co-op,"Erlanger, KY"
AbbVie,3.7,Landing Page Designer/Developer,"Manor, TX"
US Federal Highway Administration,3.1,2025 Finance Externship,"North Chicago, IL"
Western Digital,3.7,PATHWAYS STUDENT INTERN (Transportation Specialist),"Honolulu, HI"
Iron Mountain,4.4,Media Tribology Ph.D. Internship,"San Jose, CA"
University of Massachusetts Medical School,3.7,Data Center Internship Role,"Phoenix, AZ"
Yusen Logistics,5.0,"Applied Public Policy Scholarly Project Graduate Intern (hybrid - Quincy, MA)","Shrewsbury, MA"
Chartwells Higher Education,4.3,Financial Analyst Intern,"Secaucus, NJ"
NBCUniversal,4.4,"Digital Marketing Intern, Chartwells Higher Ed + Boost / Worcester State University","Worcester, MA"
Cipla,4.0,Universal Destinations & Experiences Fall 2024 Internship - Business Analytics & Industrial Engineering - Halloween Horror Nights,"Universal City, CA"
Panicle INC,4.0,Pilot Plant Documentation Intern,"Fall River, MA"
CVS Health,3.4,Newark Creative Marketing and Copywriting Intern,"Newark, NJ"
Fenstermaker,3.7,Pharmacy Growth and Innovation Corporate Intern (Graduate) – Summer 2025,"Woonsocket, RI"
NBCUniversal,3.9,Civil Engineer Intern,"Lafayette, LA"
